Sample size,Solving Time,Verification,Original Formula,Formula Type,Size Bound,Sample,Solver,Encoding Time,Total Time,Learned Formula Size,Model Type,Learned Formula
60,7.44,True,(AG(AF(p)))&(AG(AF(q))),ctl,15,test_suite/mod_large_random/Kripke/f:07-nm:030-sm:025.sp,msat,188.7,196.14,3,kripke,AG(AF(p))
120,29.2,True,(AG(AF(p)))&(AG(AF(q))),ctl,15,test_suite/mod_large_random/Kripke/f:07-nm:060-sm:035.sp,msat,1605.86,1635.06,3,kripke,AG(AF(p))
40,8.59,True,(AG(AF(p)))&(AG(AF(q))),ctl,15,test_suite/mod_large_random/Kripke/f:07-nm:020-sm:005.sp,msat,24.13,32.71,6,kripke,AG((AF(p))&(AF(q)))
100,28.5,True,AG(AF(p)),ctl,15,test_suite/mod_large_random/Kripke/f:01-nm:050-sm:035.sp,msat,1086.66,1115.16,3,kripke,AG(AF(p))
20,0.05,True,AG(AF(p)),ctl,15,test_suite/mod_large_random/Kripke/f:01-nm:010-sm:005.sp,msat,0.89,0.94,3,kripke,AX(AF(p))
120,5.25,True,AG((p)|(AX(!(q)))),ctl,15,test_suite/mod_large_random/Kripke/f:06-nm:060-sm:005.sp,msat,115.18,120.43,5,kripke,AG((EX(q))->(p))
40,406.9,True,AG((p)|(AX(!(q)))),ctl,15,test_suite/mod_large_random/Kripke/f:06-nm:020-sm:035.sp,msat,627.92,1034.82,5,kripke,AX((EX(q))->(p))
60,55.33,True,AG((p)|(AX(!(q)))),ctl,15,test_suite/mod_large_random/Kripke/f:06-nm:030-sm:015.sp,msat,199.95,255.28,5,kripke,AG((EX(q))->(p))
80,2.97,True,AG(AF(p)),ctl,15,test_suite/mod_large_random/Kripke/f:01-nm:040-sm:015.sp,msat,120.66,123.63,3,kripke,AG(AF(p))
80,91.19,True,AG((!(p))|(!(q))),ctl,15,test_suite/mod_large_random/Kripke/f:05-nm:040-sm:015.sp,msat,434.2,525.38,5,kripke,AG(!((q)&(p)))
60,1.98,True,AG(EF(q)),ctl,15,test_suite/mod_large_random/Kripke/f:02-nm:030-sm:015.sp,msat,70.46,72.44,3,kripke,AG(EF(q))
40,11.65,True,AG(EF(q)),ctl,15,test_suite/mod_large_random/Kripke/f:02-nm:020-sm:035.sp,msat,199.71,211.36,3,kripke,AG(EF(q))
